200822102 4080622E: 48E7  MOVEM.L A3A2A1A0D3D2D1D0, -(A7) D=00000001 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=007D9E68 00007ECC 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D84
200822103 40806232: 1F38  MOVE.B (CB2), -(A7)            D=00000001 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=007D9E68 00007ECC 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D64
200822104 40806236: 6708  BEQ 40806240                   D=00000001 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=007D9E68 00007ECC 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D62
200822105 40806240: 41F8  LEA (D6C), A0                  D=00000001 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=007D9E68 00007ECC 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D62
200822106 40806244: 227C  MOVEA.L #50F02000, A1          D=00000001 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=00000D6C 00007ECC 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D62
200822107 4080624A: 1029  MOVE.B 1A00(A1), D0            D=00000001 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=00000D6C 50F02000 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D62
200822108 4080624E: C029  AND.B 1C00(A1), D0             D=000000C2 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=00000D6C 50F02000 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D62
200822109 40806252: 08C0  BSET #7, D0                    D=00000082 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=00000D6C 50F02000 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D62
200822110 40806256: 5888  ADDQA #4, A0                   D=00000082 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=00000D6C 50F02000 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D62
200822111 40806258: E208  LSR.B #1, D0                   D=00000082 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=00000D70 50F02000 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D62
200822112 4080625A: 64FA  BCC 40806256                   D=00000041 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=00000D70 50F02000 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D62
